rank,prev_rank,name,league,off,def,spi
470,461,Tampa Bay Rowdies,United Soccer League,0.89,1.64,28.5
471,474,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
472,494,Louisville City FC,United Soccer League,0.99,1.8,28.38
473,310,Charlton Athletic,English League One,0.94,1.74,28.2
474,476,Larissa,Greek Super League,0.7,1.38,28.18
475,371,Peterborough United,English League One,1.0,1.82,28.14
476,477,Frosinone,Italy Serie B,0.79,1.52,28.14
477,478,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.03,1.86,28.08
478,470,AS Nancy Lorraine,French Ligue 2,0.77,1.5,27.99
479,483,Stabaek,Norwegian Tippeligaen,0.96,1.78,27.93
480,456,AC Horsens,Danish SAS-Ligaen,0.92,1.74,27.62
481,480,Lamia,Greek Super League,0.55,1.18,27.53
482,493,SD Ponferradina,Spanish Segunda Division,0.82,1.6,27.52
483,481,Cittadella,Italy Serie B,0.88,1.69,27.49
484,482,Dunkerque,French Ligue 2,0.88,1.68,27.42
485,,Eintracht Braunschweig,German 2. Bundesliga,0.9,1.72,27.4
486,471,Consadole Sapporo,Japanese J League,1.04,1.93,27.34
487,490,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
488,491,Western Sydney FC,Australian A-League,1.07,2.0,26.8
489,428,Oxford United,English League One,0.9,1.76,26.8
490,517,Orebro SK,Swedish Allsvenskan,0.95,1.83,26.79
491,492,Melbourne Victory,Australian A-League,1.07,2.01,26.6
492,497,Western United,Australian A-League,1.02,1.96,26.35
493,505,Niort,French Ligue 2,0.83,1.69,26.19
494,499,Brisbane Roar,Australian A-League,0.91,1.81,26.16
495,501,Empoli,Italy Serie B,0.89,1.79,26.07
496,500,Lyngby,Danish SAS-Ligaen,0.84,1.72,25.99
497,496,Haugesund,Norwegian Tippeligaen,0.85,1.73,25.96
498,503,FC Xanthi,Greek Super League,0.58,1.33,25.81
499,498,Chateauroux,French Ligue 2,0.78,1.64,25.78
500,,Würzburger Kickers,German 2. Bundesliga,0.84,1.75,25.53
501,507,Waasland-Beveren,Belgian Jupiler League,1.0,1.99,25.51
502,508,Östersunds FK,Swedish Allsvenskan,0.73,1.59,25.48
503,495,Livingston,Scottish Premiership,0.86,1.79,25.34
504,487,Rodez,French Ligue 2,0.76,1.65,25.13
505,527,Stromsgodset,Norwegian Tippeligaen,1.12,2.2,24.89
